Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.40;P2[8.00,2.40,0.00]=5.66;P3[13.00,0.00,0.00]=10.65;P8[5.90,10.00,0.00]=9.09;[2.21,1.41,0.48]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.67;P8[5.90,10.00,0.00]=9.13;[2.21,1.42,0.40]
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.70;P3[13.00,0.00,0.00]=10.72;P8[5.90,10.00,0.00]=9.21;[2.21,1.40,0.42]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.68;P3[13.00,0.00,0.00]=10.69;P8[5.90,10.00,0.00]=9.23;[2.21,1.38,0.45]
P1[0.00,0.00,0.00]=2.42;P2[8.00,2.40,0.00]=5.66;P3[13.00,0.00,0.00]=10.70;P8[5.90,10.00,0.00]=9.12;[2.20,1.38,0.55]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.66;P3[13.00,0.00,0.00]=10.67;P8[5.90,10.00,0.00]=9.23;[2.21,1.36,0.53]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.68;P3[13.00,0.00,0.00]=10.62;P8[5.90,10.00,0.00]=9.08;[2.21,1.38,0.62]
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.70;P3[13.00,0.00,0.00]=10.69;P8[5.90,10.00,0.00]=9.06;[2.19,1.40,0.68]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.70;P8[5.90,10.00,0.00]=9.16;[2.18,1.46,0.34]
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.71;P8[5.90,10.00,0.00]=9.25;[2.17,1.49,0.09]
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.68;P3[13.00,0.00,0.00]=10.67;P8[5.90,10.00,0.00]=9.15;[2.18,1.47,0.12]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.72;P3[13.00,0.00,0.00]=10.67;P8[5.90,10.00,0.00]=9.15;[2.19,1.45,0.20]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.68;P3[13.00,0.00,0.00]=10.67;P8[5.90,10.00,0.00]=9.05;[2.18,1.46,0.36]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.73;P3[13.00,0.00,0.00]=10.72;P8[5.90,10.00,0.00]=9.22;[2.18,1.43,0.42]
P1[0.00,0.00,0.00]=2.43;P2[8.00,2.40,0.00]=5.71;P3[13.00,0.00,0.00]=10.69;P8[5.90,10.00,0.00]=9.22;[2.19,1.41,0.44]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.69;P3[13.00,0.00,0.00]=10.70;P8[5.90,10.00,0.00]=9.14;[2.19,1.42,0.40]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.71;P3[13.00,0.00,0.00]=10.71;P8[5.90,10.00,0.00]=9.07;[2.18,1.44,0.36]
P1[0.00,0.00,0.00]=2.41;P2[8.00,2.40,0.00]=5.68;P3[13.00,0.00,0.00]=10.65;P8[5.90,10.00,0.00]=9.12;[2.18,1.43,0.48]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.68;P3[13.00,0.00,0.00]=10.76;P8[5.90,10.00,0.00]=9.20;[2.16,1.50,0.22]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.66;P8[5.90,10.00,0.00]=9.10;[2.16,1.54,0.06]
